b,lmax,fitness_difference
0.00001,0.2945891783567134,6.455929484061596e-8
0.00001,0.29659318637274545,6.455596783527806e-8
0.00001,0.2985971943887775,6.455264006666184e-8
0.00001,0.3006012024048096,6.454931150701171e-8
0.00001,0.30260521042084165,6.45459821285721e-8
0.00001,0.3046092184368737,6.454265202848752e-8
0.00001,0.3066132264529058,6.45393210679801e-8
0.00001,0.30861723446893785,6.453598934419436e-8
0.00001,0.3106212424849699,6.453265684325249e-8
0.00001,0.312625250501002,6.45293235651545e-8
0.00001,0.31462925851703405,6.452598946826704e-8
0.00001,0.3166332665330661,6.452265453871231e-8
0.00001,0.3186372745490982,6.45193189013904e-8
0.00001,0.32064128256513025,6.451598244527901e-8
0.00001,0.3226452905811623,6.451264523976707e-8
0.00001,0.3246492985971944,6.45093071738323e-8
0.00001,0.32665330661322645,6.450596835849698e-8
0.00001,0.3286573146292585,6.450262877988333e-8
0.00001,0.3306613226452906,6.449928835472463e-8
0.00001,0.33266533066132264,6.44959471524098e-8
0.00001,0.33466933867735466,6.449260520069444e-8
0.00001,0.3366733466933867,6.44892624301896e-8
0.00001,0.3386773547094188,6.448591891028421e-8
0.00001,0.34068136272545085,6.448257458546713e-8
0.00001,0.3426853707414829,6.447922942798279e-8
0.00001,0.344689378757515,6.44758835210979e-8
0.00001,0.34669338677354705,6.447253685093468e-8
0.00001,0.3486973947895791,6.446918929259304e-8
0.00001,0.3507014028056112,6.446584102648423e-8
0.00001,0.35270541082164325,6.446249192770814e-8
0.00001,0.3547094188376753,6.445914207953152e-8
0.00001,0.3567134268537074,6.44557914264432e-8
0.00001,0.35871743486973945,6.44524399545654e-8
0.00001,0.3607214428857715,6.444908770553148e-8
0.00001,0.3627254509018036,6.444573472097481e-8
0.00001,0.36472945891783565,6.444238086211751e-8
0.00001,0.3667334669338677,6.443902625385967e-8
0.00001,0.3687374749498998,6.443567084069013e-8
0.00001,0.37074148296593185,6.443231460873111e-8
0.00001,0.3727454909819639,6.442895765512713e-8
0.00001,0.374749498997996,6.442559985497809e-8
0.00001,0.37675350701402804,6.442224129155072e-8
0.00001,0.3787575150300601,6.441888189545608e-8
0.00001,0.3807615230460922,6.441552176383869e-8
0.00001,0.38276553106212424,6.441216079955403e-8
0.00001,0.38476953907815625,6.440879903035768e-8
0.00001,0.3867735470941883,6.440543652563857e-8
0.00001,0.3887775551102204,6.44020731882522e-8
0.00001,0.39078156312625245,6.43987090737097e-8
0.00001,0.3927855711422845,6.439534411262215e-8
0.00001,0.3947895791583166,6.439197837437849e-8
0.00001,0.39679358717434865,6.43886118728565e-8
0.00001,0.3987975951903807,6.438524462193396e-8
0.00001,0.4008016032064128,6.438187646895521e-8
0.00001,0.40280561122244485,6.437850763596487e-8
0.00001,0.4048096192384769,6.437513795642946e-8
0.00001,0.406813627254509,6.437176748586015e-8
0.00001,0.40881763527054105,6.436839619650137e-8
0.00001,0.4108216432865731,6.436502415774203e-8
0.00001,0.4128256513026052,6.436165128631544e-8
0.00001,0.41482965931863724,6.435827760997714e-8
0.00001,0.4168336673346693,6.435490317036052e-8
0.00001,0.4188376753507014,6.435152793971e-8
0.00001,0.42084168336673344,6.43481518763922e-8
0.00001,0.4228456913827655,6.434477507755165e-8
0.00001,0.4248496993987976,6.434139744604384e-8
0.00001,0.42685370741482964,6.433801899574654e-8
0.00001,0.4288577154308617,6.433463976829312e-8
0.00001,0.4308617234468938,6.433125973592801e-8
0.00001,0.43286573146292584,6.432787892640679e-8
0.00001,0.4348697394789579,6.432449731197387e-8
0.00001,0.4368737474949899,6.432111489262926e-8
0.00001,0.438877755511022,6.431773172388411e-8
0.00001,0.44088176352705405,6.431434769471611e-8
0.00001,0.4428857715430861,6.431096293002536e-8
0.00001,0.4448897795591182,6.430757730491177e-8
0.00001,0.44689378757515025,6.430419090264206e-8
0.00001,0.4488977955911823,6.430080369546065e-8
0.00001,0.4509018036072144,6.429741572500092e-8
0.00001,0.45290581162324645,6.429402694962949e-8
0.00001,0.4549098196392785,6.429063739710195e-8
0.00001,0.4569138276553106,6.428724698415156e-8
0.00001,0.45891783567134264,6.428385582180063e-8
0.00001,0.4609218436873747,6.428046378514907e-8
0.00001,0.4629258517034068,6.427707104073033e-8
0.00001,0.46492985971943884,6.427367746364432e-8
0.00001,0.4669338677354709,6.427028310940219e-8
0.00001,0.468937875751503,6.426688790861501e-8
0.00001,0.47094188376753504,6.42634919445495e-8
0.00001,0.4729458917835671,6.42600951755723e-8
0.00001,0.4749498997995992,6.425669761556119e-8
0.00001,0.47695390781563124,6.425329922288281e-8
0.00001,0.4789579158316633,6.424990005304831e-8
0.00001,0.48096192384769537,6.42465001060577e-8
0.00001,0.48296593186372744,6.424309936803319e-8
0.00001,0.4849699398797595,6.423969781121919e-8
0.00001,0.48697394789579157,6.423629542173792e-8
0.00001,0.4889779559118236,6.423289224122275e-8
0.00001,0.49098196392785565,6.422948826967367e-8
0.00001,0.4929859719438877,6.42260834932129e-8
0.00001,0.4949899799599198,6.422267798122938e-8
0.00001,0.49699398797595185,6.421927155331186e-8
0.00001,0.4989979959919839,6.421586441762717e-8
0.00001,0.501002004008016,6.421245642151963e-8
0.00001,0.503006012024048,6.420904763437818e-8
0.00001,0.5050100200400801,6.420563805620283e-8
0.00001,0.5070140280561122,6.420222771474915e-8
0.00001,0.5090180360721442,6.419881651287263e-8
0.00001,0.5110220440881763,6.419540453383998e-8
0.00001,0.5130260521042084,6.419199173601786e-8
0.00001,0.5150300601202404,6.418857816103962e-8
0.00001,0.5170340681362725,6.418516380890527e-8
0.00001,0.5190380761523046,6.418174861022585e-8
0.00001,0.5210420841683366,6.417833263439032e-8
0.00001,0.5230460921843687,6.417491579813195e-8
0.00001,0.5250501002004008,6.417149822635082e-8
0.00001,0.5270541082164328,6.4168079849658e-8
0.00001,0.5290581162324649,6.416466062642012e-8
0.00001,0.531062124248497,6.416124059827055e-8
0.00001,0.533066132264529,6.415781977908708e-8
0.00001,0.5350701402805611,6.415439821050306e-8
0.00001,0.5370741482965932,6.415097573986284e-8
0.00001,0.5390781563126252,6.414755256145543e-8
