year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
2000,1.084522294443907,1.2500611012250382,1.150304828709101,1.3054539579549846,1.719506747727087,1.4449568058264102,1.7251388097109595,1.2662093078711187
2001,1.1608221391369928,1.3361668836197216,1.1457504373510687,1.3197535698791503,1.706098727186453,1.0477345656994523,1.6629205221526335,1.0959732237983766
2002,1.0615948659726024,1.2577470623165288,1.2094916163578395,1.3386668852165329,1.7003289731534796,1.282225307052801,1.5504475787375607,1.3153283909119553
2003,1.0987584446580179,1.1746890739677613,0.9757703971957706,1.476549894566879,1.6763776034527682,1.113057525394311,1.7349819131448512,1.2142243486726034
2004,1.080733123395941,1.132573527475482,1.0727857761035666,1.4547538674336642,1.5981348417676935,1.0590429949172178,1.7012269044568609,1.1117809831127894
2005,1.2609283325946832,1.2059415486084597,1.1324624516402892,1.4581877435632589,1.5758946200445474,1.236350194508501,1.608675125888822,1.4586220237483176
2006,0.9776976612338807,1.0649452716118513,1.0949963697342446,1.5344345632474017,1.6350559803288134,1.0162774602326938,1.6396663640224827,1.2259446432888086
2007,1.059134879230192,0.9889302764104034,1.1860002111846712,1.4332779903822839,1.4954316009385826,1.2348640257109327,1.5532360813967179,1.0696111665281498
2008,0.986696551797487,1.3122092535609018,1.205742501052501,1.3269563053475515,1.3838281690665677,1.3479644221744407,1.5892809365229332,1.0832048880062806
2009,1.0499597773493274,1.144258551332558,1.3855165630056705,1.2728182583586982,1.2274355768606313,1.279831960952411,1.5287128326182768,0.8512924929301867
2010,1.0357964522130854,1.092730426934837,0.9894068096443438,1.1967229479343524,1.180892653707744,1.2620627220064586,1.5176626379636204,0.8181488871888458
2011,1.1314891688750601,1.061930383262924,1.0969928230044719,1.1599963965898765,1.2059110181678838,1.0847771103101633,1.3928538193023532,0.9061039420969248
2012,0.992672692879141,1.0849579318655136,1.2416778359554628,1.0650117857201964,1.1068344408377804,1.1702112258036304,1.518594887427625,0.7133281999656675
2013,1.068531028919434,0.8052679584218281,1.1782726848059761,0.9466417286417678,1.0706529342825448,1.3401585930682414,1.122303764930426,0.742765087374321
2014,0.9144403233076835,1.1156809727617265,1.0749189251779514,1.0666213699622458,1.1334855748876536,1.111656752803033,1.1564964035592173,0.8673237438525436
2015,0.9322576281649473,1.0512513382503552,1.0317794939480007,1.0302212226972114,1.1545196555783328,1.1348313854044343,1.2954200590741531,0.7422567498644875
