year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
2004,-184.81294533692218,-190.05003229769997,-193.5006536617585,-161.6302335169075,-162.15222825804724,-199.48663271336122,-140.92865842796354,-194.1562146114662
2005,-164.06892733164486,-187.15468068168352,-181.3047439501303,-162.29355287057328,-158.27625686623398,-176.132909639838,-150.63298791647063,-177.26296265809057
2006,-206.49996909809917,-196.8544769218369,-197.59324874915964,-145.38590688902642,-149.2326664893611,-198.63024282325958,-146.81133840717737,-174.54936899229622
2007,-187.10043970560318,-208.90334054263602,-186.68031455314437,-162.5003846694536,-159.53775465529176,-169.32638566754403,-143.7073807889382,-203.6710400235717
2008,-196.94346340252443,-158.81271988352253,-186.2750685642583,-170.0902698094408,-166.4003739237397,-158.64027309567538,-145.87522873286295,-172.6021861213877
2009,-190.58227319280323,-186.68243988402295,-166.89370721486463,-173.4544412152986,-177.75279846325597,-171.37882743423077,-125.41992874258844,-211.70215450835943
2010,-188.0297484635593,-180.30036537510748,-219.9244625295535,-181.2442030045693,-178.25090828138704,-157.20699665770977,-132.32674471946572,-201.1174104724491
2011,-178.2336425869897,-191.77878852794944,-208.20550328441956,-187.13747534190068,-174.06488614695942,-184.62946479793837,-157.90530245288076,-194.97654437831565
2012,-193.04599478398367,-189.4872906372499,-184.362795803507,-193.70878378047345,-181.21375440163203,-166.0812133900126,-149.71109650735596,-211.60788033297015
2013,-177.43462357587086,-219.08663763786697,-184.65088980488773,-186.4438838176297,-188.90833005098662,-151.9538680175235,-180.71454416381252,-218.82880073535566
2014,-206.69098036005695,-188.83226953951137,-198.43691295862087,-183.26635772794307,-181.7701287491336,-181.9845573174858,-176.32478595041707,-194.51089740309655
2015,-204.00016935466354,-194.8874838467245,-205.92086719270955,-198.03867812585784,-176.24725626585152,-170.61025825097076,-180.11226264845092,-230.16642495760246
